event_story,answer,Event,Context,event1,event2,Relation,GPT3_TE,GPT4_TE,GPT3_5_QA,GPT4_QA
"event: The teacher asked us to stop talking starts after we talked the whole time during and after class. story: I was so nervous for my first day of school. ""When I arrived at my first class, I was shaking."" I sat next the prettiest girl in class. We talked the whole time during and after class. ""We became best friends, and she made college so much easier!""", positive, the teacher asked us to stop talking starts after we talked the whole time during and after class. ," I was so nervous for my first day of school. ""When I arrived at my first class, I was shaking."" I sat next the prettiest girl in class. We talked the whole time during and after class. ""We became best friends, and she made college so much easier!""", the teacher asked us to stop talking , we talked the whole time during and after class. ,after, True,FALSE, before, before
"event: The man was holding a piece of paper starts before He hand John a small piece of paper story: John didn't know he was being followed. ""When he got on the train, a man approached him."" He handed John a small piece of paper. It said RAVINCORP in bold letters. ""John had been offered a job by the CIA, he just didn't know it yet.""", positive, the man was holding a piece of paper starts before he hand john a small piece of paper ," John didn't know he was being followed. ""When he got on the train, a man approached him."" He handed John a small piece of paper. It said RAVINCORP in bold letters. ""John had been offered a job by the CIA, he just didn't know it yet.""", the man was holding a piece of paper , he hand john a small piece of paper ,before, True,TRUE, after, Before
"event: Cecily had an upset stomach starts after the music festival story: ""After the three day music festival, Cecily was understandably tired."" She slept for almost 12 hours straight. ""When she woke up, however, she still didn't feel well."" Sleeping in the mud and rainy had given Cecily the flu. She called in sick to work and spent the next two days recuperating.", positive, cecily had an upset stomach starts after the music festival ," ""After the three day music festival, Cecily was understandably tired."" She slept for almost 12 hours straight. ""When she woke up, however, she still didn't feel well."" Sleeping in the mud and rainy had given Cecily the flu. She called in sick to work and spent the next two days recuperating.", cecily had an upset stomach , the music festival ,after, False,FALSE, after, after
event: Paul is not friendly. starts after Paul hat his job story: Paul hates his job. Everyday at work he gets angry and says mean things to people. Paul's boss gave him a verbal warning about his attitude at work. Currently Paul is on a performance plan at work. Next month Paul will be fired., positive, paul is not friendly. starts after paul hat his job , Paul hates his job. Everyday at work he gets angry and says mean things to people. Paul's boss gave him a verbal warning about his attitude at work. Currently Paul is on a performance plan at work. Next month Paul will be fired., paul is not friendly. , paul hat his job ,after, True,TRUE, before, after
"event: Noah realized that kayaking was not fun starts after he discovered that kayaking was harder than it had seemed. story: Noah thought kayaking looked fun. He rented a kayak one day. ""But when he got out on the lake, he was unhappy."" It was much harder than it had seemed. Noah decided he did not like kayaking after all.", positive, noah realized that kayaking was not fun starts after he discovered that kayaking was harder than it had seemed. ," Noah thought kayaking looked fun. He rented a kayak one day. ""But when he got out on the lake, he was unhappy."" It was much harder than it had seemed. Noah decided he did not like kayaking after all.", noah realized that kayaking was not fun , he discovered that kayaking was harder than it had seemed. ,after, True,TRUE, after, after
event: Gina didn't know who the manager was. starts before He introduce himself as the restaurant manager story: Gina arrived early for her interview and waited near the door. A man came to the door and looked at her. She smiled and joked with him before opening the door. He introduced himself as the restaurant manager. Gina was worried the joking may have hurt her chances., positive, gina didn't know who the manager was. starts before he introduce himself as the restaurant manager , Gina arrived early for her interview and waited near the door. A man came to the door and looked at her. She smiled and joked with him before opening the door. He introduced himself as the restaurant manager. Gina was worried the joking may have hurt her chances., gina didn't know who the manager was. , he introduce himself as the restaurant manager ,before, True,TRUE, after, before
event: Paul's coworkers do not like him. starts after Paul hat his job story: Paul hates his job. Everyday at work he gets angry and says mean things to people. Paul's boss gave him a verbal warning about his attitude at work. Currently Paul is on a performance plan at work. Next month Paul will be fired., positive, paul's coworkers do not like him. starts after paul hat his job , Paul hates his job. Everyday at work he gets angry and says mean things to people. Paul's boss gave him a verbal warning about his attitude at work. Currently Paul is on a performance plan at work. Next month Paul will be fired., paul's coworkers do not like him. , paul hat his job ,after, True,TRUE, before, after
"event: I felt worried. starts after my boss told me I wasn't needed. story: My boss pulled me aside at work. I thought he was going to tell me Happy Birthday. Instead, he told me I wasn't needed today. I sulked home, not sure whether I was getting fired or not. When I arrived home, I walked into a surprise birthday party!", positive, i felt worried. starts after my boss told me i wasn't needed. ," My boss pulled me aside at work. I thought he was going to tell me Happy Birthday. Instead, he told me I wasn't needed today. I sulked home, not sure whether I was getting fired or not. When I arrived home, I walked into a surprise birthday party!", i felt worried. , my boss told me i wasn't needed. ,after, True,TRUE, after,before
"event: Mary took her pie out of the over starts after mary baked her first pie story: Mary baked her first pie. It didn't turn out as well as she thought it would. The crust was burned and the fruit inside wasn't that great. ""However, she remembered that practice makes perfect and tried again."" ""Each pie after came out better, and she was happy she didn't give up.""", positive, mary took her pie out of the over starts after mary baked her first pie ," Mary baked her first pie. It didn't turn out as well as she thought it would. The crust was burned and the fruit inside wasn't that great. ""However, she remembered that practice makes perfect and tried again."" ""Each pie after came out better, and she was happy she didn't give up.""", mary took her pie out of the over , mary baked her first pie ,after, False,TRUE, before, after
event: Dial up internet is not as good starts before Tim visit his grandparents story: Tim was visiting his grandparents. They didn't have wifi or fast internet. Their connection was still using dial up. Tim tried to use the internet but it was just too slow. He decided to just use his smart phone instead., positive, dial up internet is not as good starts before tim visit his grandparents , Tim was visiting his grandparents. They didn't have wifi or fast internet. Their connection was still using dial up. Tim tried to use the internet but it was just too slow. He decided to just use his smart phone instead., dial up internet is not as good , tim visit his grandparents ,before, True,TRUE, before, after
